,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa_against,wepa_net,wepa_against,d_wepa,wepa_net_opponent
1802,2006_14_CHI_LAR,CHI,LAR,2006,13.0,15.0,-15.0,27.32360729194898,8.178184981905204,19.145422310043777,-19.145422310043777,23.648280283203803,4.9199475269641155,18.728332756239688,1.5492654150385263,25.53208838373562,-23.982822968697093
1803,2006_15_TB_CHI,CHI,TB,2006,14.0,3.0,-3.0,-2.4833868504714083,-7.228972512094967,4.745585661623559,-4.745585661623559,-2.160204601606604,-10.980798639980689,8.820594038374086,-17.7466373515437,-8.388548162731672,-9.358089188812029
1804,2006_16_CHI_DET,CHI,DET,2006,15.0,5.0,-5.0,6.1679065506453625,-1.0306856196934822,7.198592170338845,-7.198592170338845,2.197808011963615,2.434452983527806,-0.23664497156419095,-8.673421811576208,-2.832912994257154,-5.840508817319055
1805,2006_17_GB_CHI,CHI,GB,2006,16.0,-19.0,19.0,-24.199638683077712,-1.3256876472164505,-22.87395103586126,22.87395103586126,-23.01540517869342,-2.6627389160460546,-20.352666262647364,3.4607898236884544,-10.591035160954748,14.051824984643202
1806,2007_01_CHI_LAC,CHI,LAC,2007,1.0,-11.0,11.0,-20.02788892693934,-5.59154668623129,-14.43634224070805,14.43634224070805,-25.464889599431167,-7.167704290672439,-18.297185308758728,-10.435083548835722,-18.181102894895044,7.746019346059322
1807,2007_02_KC_CHI,CHI,KC,2007,2.0,10.0,-10.0,-17.70376916073625,-27.592423939951757,9.888654779215507,-9.888654779215507,-14.428574904243929,-24.400624474911403,9.972049570667474,-28.536247703459725,-12.276129133916253,-16.260118569543472
1808,2007_03_DAL_CHI,CHI,DAL,2007,3.0,-24.0,24.0,-21.26803398221621,2.786941604512778,-24.054975586728986,24.054975586728986,-14.947124706957082,1.3367352465343343,-16.283859953491415,0.7955015757369049,-11.402632464093399,12.198134039830304
1809,2007_04_CHI_DET,CHI,DET,2007,4.0,-10.0,10.0,-11.761650663984703,-4.781654740622034,-6.979995923362669,6.979995923362669,-17.431059117033456,-1.94750533273045,-15.483553784303005,-15.070673515763001,-4.233225938923073,-10.837447576839928
1810,2007_05_CHI_GB,CHI,GB,2007,5.0,7.0,-7.0,10.42746400221813,-0.47130392076693606,10.898767922985066,-10.898767922985066,2.1391915234937775,-4.167781242725885,6.306972766219663,-1.5804704634684934,1.1378606349445626,-2.718331098413056
1811,2007_06_MIN_CHI,CHI,MIN,2007,6.0,-3.0,3.0,8.727735631554125,14.415531047424043,-5.6877954158699175,5.6877954158699175,0.15139566047386757,3.072667465338251,-2.9212718048643835,7.2073292060260785,2.8784869541849027,4.328842251841175
